	BUB1	TUB.BUB1	BATCH.BUB1	BUBR1	TUB.BUBR1	BATCH.BUBR1	MAD1	TUB.MAD1	BATCH.MAD1	MAD2	TUB.MAD2	BATCH.MAD2	pMELT	TUB.pMELT	BATCH.pMELT	Spindly	TUB.Spindly	BATCH.Spindly	ZW10	TUB.ZW10	BATCH.ZW10
1	0.201971783944929	0.0313085643953217	1	0.156950520184048	0.0561889435390648	1	0.0219270340311292	0.04652317623873	1	0.0687874651314618	0.172235740993531	1	0.165146290551372	0.119904049082585	1	0.638517461714754	0.00616206535431876	1	0.145742882508179	0.0978632322716383	1
2	0.418778724848086	0.0239052427024748	1	0.257864728007336	0.0928616047101979	1	0.0737690452379552	0.02850167656921	1	0.179069305948306	0.0506399761869326	1	0.316065908340586	0.142411236831838	1	0.0327791323356314	0.0694467798890197	1	0.0951385765808665	0.0846802994629772	1
3	0.348484477524239	0.0576584075996474	1	0.870682157750373	0.0100127110139821	1	0.22274483824666	0.0945566964778624	1	0.604144424803542	0.00229273500533805	1	0.310175838489092	0.119505047215891	1	0.00778427205100956	0.0488443145589798	1	0.135329435929847	0.0151287723179017	1
4	0.218334264952487	0.0283754255805681	1	0.288460200147536	0.0704274360794466	1	0.386890627182567	0.0505308003911161	1	0.367082378077325	0.000264070770966619	1	0.603338964087489	0.153105324353377	1	0.00182888347951522	0.0742114549927231	1	0.102550092884178	0.0491541082622215	1
5	0.153108868771238	0.0950688698088247	1	0.362328353052941	0.0935313930391225	1	0.0203546718930789	0.126531913386385	1	0.750243618320098	0.0135866217139529	1	1.7734861940901	0.0204747295333441	1	0.19776227840744	0.045916884626562	1	0.352487931674712	0.0342820009548565	1
6	0.473567444219067	0.0516734279918864	1	0.414445565712929	0.0811765404250267	1	0.609316690258654	0.00492674228358182	1	0.780956439898425	0.00456377745813578	1	0.19143711048815	0.343998331904641	1	0.215065502183406	0.106229391319847	1	0.105537801416855	0.0500703957807227	1
7	0.180447784221369	0.04944321925454	1	0.653324488976557	0.0164609771850507	1	0.503158454684487	0.0580324489660217	1	0.127296310820186	0.110434074386896	1	0.279407763468166	0.267549428623254	1	0.187335287672855	0.0578306831304966	1	0.156547365431047	0.0526677081853903	1
8	0.248006258063861	0.0909552690662684	1	0.361467434181691	0.00464599830523332	1	0.093700351451543	0.120239757354003	1	0.231199924592327	0.020077292864549	1	0.305459098103135	0.378121087567619	1	0.475428073909258	0.00525619941311148	1	0.303009774508855	0.0665102100067744	1
9	0.999686258104999	0.00822700969113853	1	0.306079232154889	0.0525693384486339	1	0.124473358860175	0.0965658796557477	1	0.148250527387794	0.0566426614291603	1	0.121832064144405	0.122426366896329	1	0.074625390424228	0.0537698177361325	1	0.154437537972613	0.15948497452914	1
10	0.872939392771332	0.00659137339552095	1	0.291014947241251	0.142750652254938	1	0.065009440881357	0.052088697470468	1	0.0753158853065053	0.147541888138898	1	0.143752307976366	0.0763709379615953	1	0.668377800292694	0.00965889902060115	1	0.107748220533237	0.10875859572928	1
